id,descriptorType_id,description,created_at,updated_at
1,1,Cafe,"2015-04-09 22:08:34","2015-04-09 22:08:34"
3,4,Grano,"2015-04-09 22:10:12","2015-04-09 22:10:12"
4,6,"400 gr","2015-04-09 22:10:32","2015-04-09 22:10:32"
6,2,"Eskimo ","2015-04-09 23:09:37","2015-04-09 23:09:37"
8,4,Molido,"2015-04-09 23:18:28","2015-04-09 23:18:28"
9,2,Presto,"2015-04-09 23:18:41","2015-04-09 23:18:41"
7,8,1litro,"2015-04-09 23:10:25","2015-04-10 00:06:54"
2,5,Bolsa,"2015-04-09 22:09:46","2015-04-10 00:07:14"
11,1,"Leche de sabor ","2015-04-10 13:11:02","2015-04-10 13:11:02"
12,5,Caja,"2015-04-10 13:17:37","2015-04-10 13:17:37"
13,2,Centrolac,"2015-04-10 13:18:03","2015-04-10 13:18:03"
14,8,"250 ml","2015-04-10 13:18:45","2015-04-10 13:18:45"
15,1,Tomate,"2015-04-11 15:50:24","2015-04-11 15:50:24"
16,9,Nacional,"2015-04-11 15:51:42","2015-04-11 15:51:42"
17,7,Mediano,"2015-04-11 15:51:54","2015-04-11 15:51:54"
18,1,"Papel Crepe","2015-04-11 15:53:07","2015-04-11 15:53:07"
19,10,Rojo,"2015-04-11 15:53:47","2015-04-11 15:53:47"
20,2,Tigu,"2015-04-11 15:54:30","2015-04-11 15:54:30"
21,3,ABC,"2015-04-11 15:54:51","2015-04-11 15:54:51"
22,1,Huevo,"2015-04-11 16:56:45","2015-04-11 16:56:45"
23,2,"El granjero","2015-04-11 16:57:12","2015-04-11 16:57:12"
24,7,standar,"2015-04-11 16:57:39","2015-04-11 16:57:39"
25,9,Criollo,"2015-04-11 21:19:43","2015-04-11 21:19:43"
26,6,lb,"2015-04-11 21:20:06","2015-04-11 21:20:06"
28,1,"platano maduro","2015-04-12 13:58:05","2015-04-12 13:58:05"
5,1,"Leche entera","2015-04-09 23:09:18","2015-04-12 13:59:05"
29,1,"papa blanca","2015-04-12 14:01:32","2015-04-12 14:01:32"
30,1,refresco,"2015-04-12 14:02:21","2015-04-12 14:02:21"
31,2,hic,"2015-04-12 14:02:32","2015-04-12 14:02:32"
32,1,"queso amarillo","2015-04-12 14:05:29","2015-04-12 14:05:29"
33,5,"six pack","2015-04-12 14:27:02","2015-04-12 14:27:02"
34,1,"Memoria USB","2015-04-14 22:59:50","2015-04-14 22:59:50"
35,2,Kingston,"2015-04-14 23:00:20","2015-04-14 23:00:20"
36,3,Datatraveler,"2015-04-14 23:00:45","2015-04-14 23:00:45"
37,11,"16 GB","2015-04-14 23:01:29","2015-04-14 23:01:53"
38,1,bananos,"2015-04-16 14:56:11","2015-04-16 14:56:11"
39,9,criollo,"2015-04-16 14:56:38","2015-04-16 14:56:38"
40,5,"docena ","2015-04-16 14:57:04","2015-04-16 14:57:04"
41,1,"Pintura en aerosol","2015-04-16 17:08:31","2015-04-16 17:08:31"
42,2,"Touch 'n Tone","2015-04-16 17:08:56","2015-04-16 17:08:56"
43,10,Negro,"2015-04-16 17:09:13","2015-04-16 17:09:13"
44,6,"10 oz","2015-04-16 17:09:59","2015-04-16 17:09:59"
45,2,Estrella,"2015-04-19 17:46:45","2015-04-19 17:46:45"
46,5,"1/2 Docena","2015-04-19 17:47:19","2015-04-19 17:47:19"
47,1,"Detergente en Polvo","2015-04-19 17:48:56","2015-04-19 17:48:56"
48,2,Lariansa,"2015-04-19 17:49:03","2015-04-19 17:49:03"
49,6,"9 Kg","2015-04-19 17:49:25","2015-04-19 17:49:25"
50,2,Natura's,"2015-04-19 17:51:18","2015-04-19 17:51:18"
51,8,"200 ml","2015-04-19 17:51:36","2015-04-19 17:51:36"
52,1,"Pañales desechables","2015-04-19 17:53:53","2015-04-19 17:53:53"
53,2,"Parent's Choice","2015-04-19 17:54:05","2015-04-19 17:54:05"
54,3,Ultrasec,"2015-04-19 17:54:21","2015-04-19 17:54:21"
55,9,XG/4,"2015-04-19 17:54:54","2015-04-19 17:54:54"
56,7,"36 Unidades","2015-04-19 17:55:36","2015-04-19 17:55:36"
57,1,"Filete de pollo sin piel","2015-04-19 17:56:16","2015-04-19 17:57:51"
58,5,"a granel","2015-04-19 17:58:15","2015-04-19 18:00:20"
59,2,tropical,"2015-04-19 18:02:28","2015-04-19 18:02:28"
60,3,"frutas mixtas","2015-04-19 18:02:49","2015-04-19 18:02:49"
61,5,botella,"2015-04-19 18:03:04","2015-04-19 18:03:04"
62,1,"hojuelas de maiz","2015-04-19 18:04:46","2015-04-19 18:04:46"
63,3,azucaradas,"2015-04-19 18:05:04","2015-04-19 18:05:04"
64,2,suli,"2015-04-19 18:05:19","2015-04-19 18:05:19"
65,6,"1,500 gr","2015-04-19 18:06:03","2015-04-19 18:06:03"
66,1,salsa,"2015-04-19 18:07:29","2015-04-19 18:07:29"
67,2,lizano,"2015-04-19 18:07:45","2015-04-19 18:07:45"
68,8,"280 ml","2015-04-19 18:08:07","2015-04-19 18:08:07"
69,1,desodorante,"2015-04-19 18:09:18","2015-04-19 18:09:18"
70,2,rexona,"2015-04-19 18:10:14","2015-04-19 18:10:14"
71,4,barra,"2015-04-19 18:10:24","2015-04-19 18:10:24"
72,3,women,"2015-04-19 18:10:53","2015-04-19 18:10:53"
73,10,morado,"2015-04-19 18:11:09","2015-04-19 18:11:09"
74,6,"50 g","2015-04-19 18:11:39","2015-04-19 18:11:39"
75,3,te,"2015-04-19 18:13:30","2015-04-19 18:13:30"
76,1,"pan blanco","2015-04-19 18:14:07","2015-04-19 18:14:07"
77,4,molde,"2015-04-19 18:14:21","2015-04-19 18:14:21"
78,2,monarca,"2015-04-19 18:15:16","2015-04-19 18:15:16"
79,6,"540 g","2015-04-19 18:15:35","2015-04-19 18:15:35"
80,1,galleta,"2015-04-19 18:16:27","2015-04-19 18:16:27"
81,2,pozuelo,"2015-04-19 18:16:34","2015-04-19 18:16:34"
82,3,cremas,"2015-04-19 18:16:43","2015-04-19 18:16:43"
83,4,"chocolate con rellenos de vainilla","2015-04-19 18:17:03","2015-04-19 18:17:03"
84,7,"12 unidades","2015-04-19 18:17:33","2015-04-19 18:17:33"
86,4,importado,"2015-04-19 18:21:07","2015-04-19 18:21:07"
85,1,"chayote tierno","2015-04-19 18:18:07","2015-04-19 18:21:43"
88,4,nacional,"2015-04-19 18:23:16","2015-04-19 18:23:16"
87,1,piña,"2015-04-19 18:23:00","2015-04-19 18:23:39"
89,5,unidad,"2015-04-19 18:24:05","2015-04-19 18:24:05"
90,1,mantequilla,"2015-04-19 18:25:01","2015-04-19 18:25:01"
91,2,parmalat,"2015-04-19 18:25:28","2015-04-19 18:25:28"
92,6,"100 g","2015-04-19 18:25:36","2015-04-19 18:25:36"
93,1,"jabon lavaplatos","2015-04-19 18:28:09","2015-04-19 18:28:09"
94,2,"doña blanca","2015-04-19 18:28:21","2015-04-19 18:28:21"
95,6,"340 g","2015-04-19 18:28:48","2015-04-19 18:28:48"
96,1,"leche en polvo","2015-04-19 18:29:33","2015-04-19 18:29:33"
98,2,nestle,"2015-04-19 18:30:55","2015-04-19 18:30:55"
97,3,"nestogeno 2","2015-04-19 18:29:46","2015-04-19 18:31:26"
10,5,tarro,"2015-04-09 23:18:57","2015-04-19 18:32:14"
99,6,"900 g","2015-04-19 18:32:35","2015-04-19 18:32:35"
100,1,"chorizo cocido","2015-04-19 18:33:31","2015-04-19 18:33:31"
101,2,zar,"2015-04-19 18:33:37","2015-04-19 18:33:37"
102,6,"600 g","2015-04-19 18:34:32","2015-04-19 18:34:32"
103,3,instantaneo,"2015-04-19 18:36:23","2015-04-19 18:36:23"
104,2,presto,"2015-04-19 18:36:31","2015-04-19 18:36:31"
105,5,caja,"2015-04-19 18:36:41","2015-04-19 18:36:41"
106,6,"40 g","2015-04-19 18:37:10","2015-04-19 18:37:10"
27,1,"platano verde","2015-04-12 13:57:22","2015-04-21 13:04:50"
