id,product_id,descriptor_id,created_at,updated_at
1,2,1,"2015-04-09 22:13:31","2015-04-09 22:13:31"
2,2,2,"2015-04-09 22:13:31","2015-04-09 22:13:31"
3,2,4,"2015-04-09 22:13:31","2015-04-09 22:13:31"
4,2,3,"2015-04-09 22:13:31","2015-04-09 22:13:31"
5,3,5,"2015-04-09 23:12:31","2015-04-09 23:12:31"
6,3,2,"2015-04-09 23:12:31","2015-04-09 23:12:31"
7,3,7,"2015-04-09 23:12:31","2015-04-09 23:12:31"
8,3,6,"2015-04-09 23:12:31","2015-04-09 23:12:31"
9,4,1,"2015-04-09 23:19:09","2015-04-09 23:19:09"
10,4,8,"2015-04-09 23:19:09","2015-04-09 23:19:09"
11,4,9,"2015-04-09 23:19:09","2015-04-09 23:19:09"
12,4,10,"2015-04-09 23:19:09","2015-04-09 23:19:09"
13,4,4,"2015-04-09 23:19:09","2015-04-09 23:19:09"
14,5,11,"2015-04-10 13:19:07","2015-04-10 13:19:07"
15,5,12,"2015-04-10 13:19:07","2015-04-10 13:19:07"
16,5,13,"2015-04-10 13:19:07","2015-04-10 13:19:07"
17,5,14,"2015-04-10 13:19:07","2015-04-10 13:19:07"
18,6,15,"2015-04-11 15:52:13","2015-04-11 15:52:13"
19,6,16,"2015-04-11 15:52:13","2015-04-11 15:52:13"
20,6,17,"2015-04-11 15:52:13","2015-04-11 15:52:13"
21,7,18,"2015-04-11 15:54:53","2015-04-11 15:54:53"
22,7,19,"2015-04-11 15:54:53","2015-04-11 15:54:53"
23,7,20,"2015-04-11 15:54:53","2015-04-11 15:54:53"
24,7,21,"2015-04-11 15:54:53","2015-04-11 15:54:53"
25,8,22,"2015-04-11 16:57:45","2015-04-11 16:57:45"
26,8,23,"2015-04-11 16:57:45","2015-04-11 16:57:45"
27,8,24,"2015-04-11 16:57:45","2015-04-11 16:57:45"
29,10,15,"2015-04-11 21:20:08","2015-04-11 21:20:08"
30,10,25,"2015-04-11 21:20:08","2015-04-11 21:20:08"
31,10,26,"2015-04-11 21:20:08","2015-04-11 21:20:08"
32,11,27,"2015-04-12 13:57:45","2015-04-12 13:57:45"
33,11,25,"2015-04-12 13:57:45","2015-04-12 13:57:45"
34,12,28,"2015-04-12 13:58:14","2015-04-12 13:58:14"
35,12,25,"2015-04-12 13:58:14","2015-04-12 13:58:14"
36,13,29,"2015-04-12 14:01:48","2015-04-12 14:01:48"
37,13,26,"2015-04-12 14:01:48","2015-04-12 14:01:48"
38,14,30,"2015-04-12 14:04:49","2015-04-12 14:04:49"
39,14,31,"2015-04-12 14:04:49","2015-04-12 14:04:49"
40,14,12,"2015-04-12 14:04:49","2015-04-12 14:04:49"
41,14,14,"2015-04-12 14:04:49","2015-04-12 14:04:49"
42,15,11,"2015-04-12 14:27:33","2015-04-12 14:27:33"
43,15,13,"2015-04-12 14:27:33","2015-04-12 14:27:33"
44,15,33,"2015-04-12 14:27:33","2015-04-12 14:27:33"
45,15,14,"2015-04-12 14:27:33","2015-04-12 14:27:33"
46,16,34,"2015-04-14 23:01:31","2015-04-14 23:01:31"
47,16,35,"2015-04-14 23:01:31","2015-04-14 23:01:31"
48,16,36,"2015-04-14 23:01:31","2015-04-14 23:01:31"
49,16,37,"2015-04-14 23:01:31","2015-04-14 23:01:31"
50,17,38,"2015-04-16 14:57:17","2015-04-16 14:57:17"
51,17,39,"2015-04-16 14:57:17","2015-04-16 14:57:17"
52,17,40,"2015-04-16 14:57:17","2015-04-16 14:57:17"
53,18,41,"2015-04-16 17:10:00","2015-04-16 17:10:00"
54,18,42,"2015-04-16 17:10:00","2015-04-16 17:10:00"
55,18,43,"2015-04-16 17:10:00","2015-04-16 17:10:00"
56,18,44,"2015-04-16 17:10:00","2015-04-16 17:10:00"
57,19,22,"2015-04-19 17:47:20","2015-04-19 17:47:20"
58,19,45,"2015-04-19 17:47:20","2015-04-19 17:47:20"
59,19,46,"2015-04-19 17:47:20","2015-04-19 17:47:20"
60,20,47,"2015-04-19 17:49:27","2015-04-19 17:49:27"
61,20,48,"2015-04-19 17:49:27","2015-04-19 17:49:27"
62,20,2,"2015-04-19 17:49:27","2015-04-19 17:49:27"
63,20,49,"2015-04-19 17:49:27","2015-04-19 17:49:27"
64,21,30,"2015-04-19 17:51:37","2015-04-19 17:51:37"
65,21,50,"2015-04-19 17:51:37","2015-04-19 17:51:37"
66,21,12,"2015-04-19 17:51:37","2015-04-19 17:51:37"
67,21,51,"2015-04-19 17:51:37","2015-04-19 17:51:37"
68,22,52,"2015-04-19 17:55:37","2015-04-19 17:55:37"
69,22,53,"2015-04-19 17:55:37","2015-04-19 17:55:37"
70,22,54,"2015-04-19 17:55:37","2015-04-19 17:55:37"
71,22,55,"2015-04-19 17:55:37","2015-04-19 17:55:37"
72,22,2,"2015-04-19 17:55:37","2015-04-19 17:55:37"
73,22,56,"2015-04-19 17:55:37","2015-04-19 17:55:37"
76,24,57,"2015-04-19 18:00:01","2015-04-19 18:00:01"
77,24,58,"2015-04-19 18:00:01","2015-04-19 18:00:01"
78,24,26,"2015-04-19 18:00:01","2015-04-19 18:00:01"
79,25,30,"2015-04-19 18:03:22","2015-04-19 18:03:22"
80,25,59,"2015-04-19 18:03:22","2015-04-19 18:03:22"
81,25,60,"2015-04-19 18:03:22","2015-04-19 18:03:22"
82,25,61,"2015-04-19 18:03:22","2015-04-19 18:03:22"
83,25,14,"2015-04-19 18:03:22","2015-04-19 18:03:22"
84,26,62,"2015-04-19 18:06:08","2015-04-19 18:06:08"
85,26,63,"2015-04-19 18:06:08","2015-04-19 18:06:08"
86,26,64,"2015-04-19 18:06:08","2015-04-19 18:06:08"
87,26,2,"2015-04-19 18:06:08","2015-04-19 18:06:08"
88,26,65,"2015-04-19 18:06:08","2015-04-19 18:06:08"
89,27,66,"2015-04-19 18:08:08","2015-04-19 18:08:08"
90,27,67,"2015-04-19 18:08:08","2015-04-19 18:08:08"
91,27,61,"2015-04-19 18:08:08","2015-04-19 18:08:08"
92,27,68,"2015-04-19 18:08:08","2015-04-19 18:08:08"
93,28,69,"2015-04-19 18:11:59","2015-04-19 18:11:59"
94,28,70,"2015-04-19 18:11:59","2015-04-19 18:11:59"
95,28,71,"2015-04-19 18:11:59","2015-04-19 18:11:59"
96,28,72,"2015-04-19 18:11:59","2015-04-19 18:11:59"
97,28,73,"2015-04-19 18:11:59","2015-04-19 18:11:59"
98,28,74,"2015-04-19 18:11:59","2015-04-19 18:11:59"
99,29,30,"2015-04-19 18:13:32","2015-04-19 18:13:32"
100,29,59,"2015-04-19 18:13:32","2015-04-19 18:13:32"
101,29,61,"2015-04-19 18:13:32","2015-04-19 18:13:32"
102,29,14,"2015-04-19 18:13:32","2015-04-19 18:13:32"
103,29,75,"2015-04-19 18:13:32","2015-04-19 18:13:32"
104,30,76,"2015-04-19 18:15:39","2015-04-19 18:15:39"
105,30,77,"2015-04-19 18:15:39","2015-04-19 18:15:39"
106,30,2,"2015-04-19 18:15:39","2015-04-19 18:15:39"
107,30,78,"2015-04-19 18:15:39","2015-04-19 18:15:39"
108,30,79,"2015-04-19 18:15:39","2015-04-19 18:15:39"
109,31,80,"2015-04-19 18:17:33","2015-04-19 18:17:33"
110,31,81,"2015-04-19 18:17:33","2015-04-19 18:17:33"
111,31,82,"2015-04-19 18:17:33","2015-04-19 18:17:33"
112,31,83,"2015-04-19 18:17:33","2015-04-19 18:17:33"
113,31,2,"2015-04-19 18:17:33","2015-04-19 18:17:33"
114,31,84,"2015-04-19 18:17:33","2015-04-19 18:17:33"
115,32,85,"2015-04-19 18:21:12","2015-04-19 18:21:12"
116,32,86,"2015-04-19 18:21:12","2015-04-19 18:21:12"
117,33,87,"2015-04-19 18:24:06","2015-04-19 18:24:06"
118,33,88,"2015-04-19 18:24:06","2015-04-19 18:24:06"
119,33,89,"2015-04-19 18:24:06","2015-04-19 18:24:06"
120,34,90,"2015-04-19 18:25:40","2015-04-19 18:25:40"
121,34,71,"2015-04-19 18:25:40","2015-04-19 18:25:40"
122,34,91,"2015-04-19 18:25:40","2015-04-19 18:25:40"
123,34,92,"2015-04-19 18:25:40","2015-04-19 18:25:40"
124,35,93,"2015-04-19 18:28:49","2015-04-19 18:28:49"
125,35,94,"2015-04-19 18:28:49","2015-04-19 18:28:49"
126,35,71,"2015-04-19 18:28:49","2015-04-19 18:28:49"
127,35,95,"2015-04-19 18:28:49","2015-04-19 18:28:49"
128,36,96,"2015-04-19 18:32:37","2015-04-19 18:32:37"
129,36,98,"2015-04-19 18:32:37","2015-04-19 18:32:37"
130,36,97,"2015-04-19 18:32:37","2015-04-19 18:32:37"
131,36,10,"2015-04-19 18:32:37","2015-04-19 18:32:37"
132,36,99,"2015-04-19 18:32:37","2015-04-19 18:32:37"
133,37,100,"2015-04-19 18:35:14","2015-04-19 18:35:14"
134,37,101,"2015-04-19 18:35:14","2015-04-19 18:35:14"
135,37,2,"2015-04-19 18:35:14","2015-04-19 18:35:14"
136,37,102,"2015-04-19 18:35:14","2015-04-19 18:35:14"
137,38,1,"2015-04-19 18:37:12","2015-04-19 18:37:12"
138,38,103,"2015-04-19 18:37:12","2015-04-19 18:37:12"
139,38,104,"2015-04-19 18:37:12","2015-04-19 18:37:12"
140,38,105,"2015-04-19 18:37:12","2015-04-19 18:37:12"
141,38,106,"2015-04-19 18:37:12","2015-04-19 18:37:12"
